"","original.name","new.name","plot","season.year","season","year","Time"
"1","X101.ITS_2020.09","101_Fall_2020","101","Fall_2020","Fall","2020","Fall 2020"
"2","X102.ITS_2020.09","102_Fall_2020","102","Fall_2020","Fall","2020","Fall 2020"
"3","X103.ITS_2020.09","103_Fall_2020","103","Fall_2020","Fall","2020","Fall 2020"
"4","X104.ITS_2020.09","104_Fall_2020","104","Fall_2020","Fall","2020","Fall 2020"
"5","X105.ITS_2020.09","105_Fall_2020","105","Fall_2020","Fall","2020","Fall 2020"
"6","X106.ITS_2020.09","106_Fall_2020","106","Fall_2020","Fall","2020","Fall 2020"
"7","X107.ITS_2020.09","107_Fall_2020","107","Fall_2020","Fall","2020","Fall 2020"
"8","X108.ITS_2020.09","108_Fall_2020","108","Fall_2020","Fall","2020","Fall 2020"
"9","X109.ITS_2020.09","109_Fall_2020","109","Fall_2020","Fall","2020","Fall 2020"
"10","X110.ITS_2020.09","110_Fall_2020","110","Fall_2020","Fall","2020","Fall 2020"
"11","X111.ITS_2020.09","111_Fall_2020","111","Fall_2020","Fall","2020","Fall 2020"
"12","X112.ITS_2020.09","112_Fall_2020","112","Fall_2020","Fall","2020","Fall 2020"
"13","X113.ITS_2020.09","113_Fall_2020","113","Fall_2020","Fall","2020","Fall 2020"
"14","X114.ITS_2020.09","114_Fall_2020","114","Fall_2020","Fall","2020","Fall 2020"
"15","X115.ITS_2020.09","115_Fall_2020","115","Fall_2020","Fall","2020","Fall 2020"
"16","X116.ITS_2020.09","116_Fall_2020","116","Fall_2020","Fall","2020","Fall 2020"
"17","X117.ITS_2020.09","117_Fall_2020","117","Fall_2020","Fall","2020","Fall 2020"
"18","X118.ITS_2020.09","118_Fall_2020","118","Fall_2020","Fall","2020","Fall 2020"
"19","X119.ITS_2020.09","119_Fall_2020","119","Fall_2020","Fall","2020","Fall 2020"
"20","X120.ITS_2020.09","120_Fall_2020","120","Fall_2020","Fall","2020","Fall 2020"
"21","X201.ITS_2020.09","201_Fall_2020","201","Fall_2020","Fall","2020","Fall 2020"
"22","X202.ITS_2020.09","202_Fall_2020","202","Fall_2020","Fall","2020","Fall 2020"
"23","X203.ITS_2020.09","203_Fall_2020","203","Fall_2020","Fall","2020","Fall 2020"
"24","X204.ITS_2020.09","204_Fall_2020","204","Fall_2020","Fall","2020","Fall 2020"
